  f  zad   ion[i,j]
  52   443   83
  52   486   80
  52   558   83
  52   584   79
  52   606   81
  53   274   92
  53   275   87
  53   276   98
  53   277  101
  53   365   90
  53   368   82
  53   383   90
  53   384   88
  53   394   98
  53   395  101
  53   398   91
  53   399   95
  53   400   95
  53   401   86
  53   405   90
  53   406   96
  53   407   94
  53   408   85
  53   425   87
  53   490   83
  53   607   83
  53   683   85
  54   274   89
  54   275   79
  54   276   89
  54   277   92
  54   366   79
  54   394   89
  54   395   88
  54   399   85
  54   400   87
  54   401   80
  54   406   81
  54   598   79
  54   599   84
  54   600   79
  54   681   79
  54   689   79
  54   700   79
  55   260   75
  55   261   69
  55   272   78
  55   273   89
  55   274   94
  55   276   92
  55   277   91
  55   379   69
  55   395   75
  55   524   70
  55   525   70
  55   533   73
  55   580   69
  55   584   72
  55   586   68
  55   587   70
  55   599   83
  55   600   88
  55   601   81
  55   642   72
  55   643   73
  55   648   73
  55   652   74
  55   677   73
  55   679   74
  55   680   83
  55   681   81
  55   684   78
  55   688   73
  55   689   74
  55   690   76
  55   703   72
  56   260   86
  56   264   78
  56   265   80
  56   273   99
  56   274  107
  56   275   97
  56   276  100
  56   277   92
  56   601   80
  56   602   81
  56   661   80
  56   662   80
  56   666   81
  56   667   90
  56   668   99
  56   669  100
  56   670   96
  56   671   88
  56   674   83
  56   675   93
  56   676   93
  56   677   89
  56   678   82
  56   679   95
  56   680  106
  56   681  106
  56   682  100
  56   683   99
  56   684   88
  56   687   84
  56   688   86
  56   690   82
  56   691   95
  56   692   87
  56   702   80
  57   264   84
  57   273   88
  57   274  116
  57   275  117
  57   276  101
  57   649   79
  57   654   87
  57   655   86
  57   658   81
  57   659   87
  57   660   93
  57   661  100
  57   662   99
  57   663   92
  57   664   86
  57   665   85
  57   666   97
  57   667  110
  57   668  117
  57   669  118
  57   670  113
  57   671  103
  57   672   84
  57   674   95
  57   675  106
  57   676  106
  57   677   91
  57   679   96
  57   680  112
  57   681  115
  57   682  113
  57   683  108
  57   684   93
  57   687   87
  57   688   88
  57   689   86
  57   690   94
  57   691  101
  57   692   98
  57   693   89
  57   694   87
  57   695   90
  57   696   91
  57   697   90
  57   698   82
  57   702   79
  58   252   76
  58   253   76
  58   257   72
  58   264   73
  58   265   72
  58   273   96
  58   274  123
  58   275  121
  58   276   91
  58   572   76
  58   573   79
  58   579   75
  58   597   76
  58   598   74
  58   606   77
  58   611   72
